title,attack_type,attack_type_code,description,year,month,day,Africa,Asia,Australia,Europe,North America,South America,reference_title,reference_url
"Cyber attack on a hospital in Arizona, USA",Hacking,3,"Mt. Graham Regional Medical Center - Safford, Arizona, USA (Graham County)",2023,9,1,0,0,0,0,1,0,Update,mtgraham.org
Cyber attack on a water authority in Brazil,Hacking,3,"Agência Nacional de Águas e Saneamento Básico (ANA) - Brasília, Distrito Federal, Brazil",2023,9,27,0,0,0,0,0,1,ANA retoma sistemas gradualmente após ataque cibernético,gov.br
DDoS attack on the website of the Canadian armed forces,Ddos,2,"Canadian Armed Forces - Ottawa, Ontario, Canada",2023,9,27,0,0,0,0,1,0,"Cyberattacks hit military, Parliament websites as India hacker group targets Canada",toronto.citynews.ca
Cyber attack on a city government in Portugal,Hacking,3,"Gondomar, Região Norte, Portugal",2023,9,27,0,0,0,1,0,0,Cyberattack on Gondomar town hall “largest on public institution in Portugal”,portugalresident.com
Cyber attack on a college in New York City,Hacking,3,"Baruch College - New York City, New York, USA",2023,9,1,0,0,0,0,1,0,Baruch closed for the remainder of the week amid malware attack,theticker.org
DDoS attack on a hospital in Canada,Ddos,2,"The Ottawa Hospital - Ottawa, Ontario, Canada",2023,9,26,0,0,0,0,1,0,Une cyberattaque indienne contre l’Hôpital d’Ottawa en guise de représailles contre le Canada,journaldemontreal.com
Cyber attack on a it service provider in the Philippines,Hacking,3,"Phil-Data Business Systems - Makati City / Lungsod ng Makati, Metro Manila / Kalakhang Maynila, Philippines",2023,9,1,0,1,0,0,0,0,"Official Statement from Phil-Data Business Systems, Inc.",facebook.com
"Cyber incident at a city government in California, USA",Cyber incident,0,"City of Victorville - Victorville, California, USA (San Bernardino County)",2023,9,26,0,0,0,0,1,0,Breach Notification,oag.ca.gov
DDoS attack on a parliament in Canada,Ddos,2,"House of Commons / Chambre des Communes - Ottawa, Ontario, Canada",2023,9,25,0,0,0,0,1,0,La Chambre des communes visée par une cyberattaque,lesoleil.com
"Cyber attack on a county government in Missouri, USA",Hacking,3,"Maries County Courthouse - Vienna, Missouri, USA (Maries County)",2023,9,1,0,0,0,0,1,0,Over the past few days the Maries County Courthouse has been under a cyber attack,facebook.com
"Cyber attack on schools in Arizona, USA",Hacking,3,"Pinal County School Office Data Processing Consortium - Florence, Arizona, USA (Pinal County)",2023,9,25,0,0,0,0,1,0,Statement from the Pinal County School Superintendent's Office,pinalcso.org
